code,名称,类型,日期,净值,日增长率,近1周,近1月,近3月,近6月,近1年,近2年,近3年,今年来,成立来,f1,f2,f3,f4,f5,f6,f7,可购买,f9,起购金额,费率,e1,e2,e3
018980,富国优化增强债券E,债券型,2025/11/20,2.054,-0.19,-0.96,-0.1,-1.77,7.31,20.05,27.1,,17.84,27.42,3,0,1,0,0,,043,1,1,10元,,0.00%,,,
200013,长城积极增利债券A,债券型,2025/11/20,1.3467,-0.36,-1.7,2.86,0.52,12.77,19.95,20.22,21.96,16.88,96.4,3,1,1,0.08,0,,043,1,1,10元,0.80%,0.08%,0.08%,1,
008345,南华瑞泽债券A,债券型,2025/11/20,1.1644,-0.09,-1.34,2.83,1.84,13.97,19.92,21.97,18.23,18.21,27.8,3,1,1,0.08,0,,043,1,1,10元,0.80%,0.08%,0.08%,1,
015723,长城久悦债券C,债券型,2025/11/20,1.1891,-0.51,-1.82,1.97,-0.18,12.81,19.91,10.51,11.49,18.07,8.39,3,0,1,0,0,,043,1,1,10元,,0.00%,,,
017771,华夏聚利债券C,债券型,2025/11/20,2.0635,-0.21,-1.03,2.66,2.38,14.83,19.86,17.56,,18.54,15.21,3,0,1,0,0,,043,1,1,10元,,0.00%,,,
008332,万家可转债债券C,债券型,2025/11/20,1.3959,-0.17,-1.74,3.13,1.56,12.82,19.81,19.37,19.55,17.82,39.59,3,0,1,0,0,,043_045,1,1,10元,,0.00%,,,
531017,建信双息红利债券C,债券型,2025/11/20,1.233,0,-1.04,1.31,4.05,15.34,19.71,21.12,17.99,18.22,86.41,3,0,1,0,0,,043,1,1,10元,,0.00%,,,
100051,富国可转债A,债券型,2025/11/20,2.248,-0.27,-1.92,2.84,0.36,14.52,19.7,13.65,11.84,18.94,124.8,3,1,1,0.08,0,,043_045,1,1,10元,0.80%,0.08%,0.08%,1,
100037,富国优化增强债券C,债券型,2025/11/20,1.924,-0.16,-0.93,-0.1,-1.89,7.13,19.58,26.91,28.16,17.39,137.81,0,0,1,0,0,,043,0,4,10元,0.00%,0.00%,0.00%,0,
200113,长城积极增利债券C,债券型,2025/11/20,1.5723,-0.37,-1.71,2.83,0.42,12.54,19.47,19.26,20.5,16.47,84.89,3,0,1,0,0,,043,1,1,10元,0.00%,0.00%,0.00%,0,
008346,南华瑞泽债券C,债券型,2025/11/20,1.1404,-0.1,-1.35,2.8,1.73,13.73,19.44,21.34,17.16,17.79,25.23,3,0,1,0,0,,043,1,1,10元,,0.00%,,,
009758,富国可转债C,债券型,2025/11/20,2.225,-0.22,-1.94,2.87,0.32,14.4,19.43,13.23,11.19,18.73,31.19,3,0,1,0,0,,043_045,1,1,10元,,0.00%,,,
000028,华富安鑫债券A,债券型,2025/11/20,1.0974,-0.37,-1.92,0.12,0.88,10.19,18.94,23.18,17.81,18.1,79.33,3,1,1,0.08,0,,043,1,1,10元,0.80%,0.08%,0.08%,1,
003133,易方达裕鑫债券A,债券型,2025/11/20,1.7429,-0.13,-1.45,2.64,3.32,12.07,18.85,26.36,26.91,17.04,84.49,3,1,1,0.1,0,,043,0,1,10元,1.00%,0.10%,0.10%,1,
003197,光大安诚债券A,债券型,2025/11/20,1.2936,-0.39,-1.63,2.25,1.52,13.28,18.79,16.7,17.23,14.6,39.19,3,1,1,0.08,0,,043,1,1,10元,0.80%,0.08%,0.08%,1,
050011,博时信用债券A/B,债券型,2025/11/20,3.674,-0.33,-1.93,0.63,3.43,15.44,18.77,27.92,22.71,17.43,303.41,3,1,1,0.08,0,,043,1,1,10元,0.80%,0.08%,0.08%,1,
003401,工银可转债债券,债券型,2025/11/20,1.9403,-0.55,-2.27,3.41,9.12,13.35,18.64,38.73,57.89,14.27,94.03,3,1,1,0.08,0,,043_045,1,1,10元,0.80%,0.08%,0.08%,1,
003134,易方达裕鑫债券C,债券型,2025/11/20,1.7321,-0.13,-1.45,2.62,3.27,11.96,18.62,25.85,26.16,16.84,81.69,3,0,1,0,0,,043,0,1,10元,,0.00%,,,
003198,光大安诚债券C,债券型,2025/11/20,1.281,-0.38,-1.62,2.23,1.45,13.12,18.42,16,16.18,14.29,36.97,3,0,1,0,0,,043,1,1,10元,,0.00%,,,
164814,工银双债增强债券,债券型,2025/11/20,1.128,-0.27,-1.66,2.33,2.51,14.39,18.37,21.87,19.35,15.99,122.3,3,1,1,0.04,0,,020_043,1,1,10元,0.40%,0.04%,0.04%,1,
