indexCode,indexName,indexNameEn,查看地址
000816,细分地产,Real Estate Sub-industry,https://www.csindex.com.cn/#/indices/family/detail?indexCode=000816
000818,细分金融,Financials Sub-industry,https://www.csindex.com.cn/#/indices/family/detail?indexCode=000818
000820,煤炭指数,Coal Index,https://www.csindex.com.cn/#/indices/family/detail?indexCode=000820
000821,300红利,CSI 300 Dividend,https://www.csindex.com.cn/#/indices/family/detail?indexCode=000821
000822,500红利,CSI 500 Dividend,https://www.csindex.com.cn/#/indices/family/detail?indexCode=000822
000824,国企红利,CSI Soes Dividend,https://www.csindex.com.cn/#/indices/family/detail?indexCode=000824
000825,央企红利,CSI Central Soes Dividend,https://www.csindex.com.cn/#/indices/family/detail?indexCode=000825
000826,民企红利,CSI Poes Dividend,https://www.csindex.com.cn/#/indices/family/detail?indexCode=000826
000828,300高贝,CSI 300 HB,https://www.csindex.com.cn/#/indices/family/detail?indexCode=000828
000829,300低贝,CSI 300 LB,https://www.csindex.com.cn/#/indices/family/detail?indexCode=000829
000830,500高贝,CSI 500 HB,https://www.csindex.com.cn/#/indices/family/detail?indexCode=000830
000831,500低贝,CSI 500 LB,https://www.csindex.com.cn/#/indices/family/detail?indexCode=000831
000832,中证转债,CSI Convertible Bond,https://www.csindex.com.cn/#/indices/family/detail?indexCode=000832
000838,创业价值,Innovative & Value,https://www.csindex.com.cn/#/indices/family/detail?indexCode=000838
000839,浙企综指,CSI ZheJiang Composite,https://www.csindex.com.cn/#/indices/family/detail?indexCode=000839
000840,浙江民企,CSI ZheJiang Private-owned,https://www.csindex.com.cn/#/indices/family/detail?indexCode=000840
000841,800医药,800 Pharma. & Bio.,https://www.csindex.com.cn/#/indices/family/detail?indexCode=000841
000842,800等权,CSI 800 Equal Weight,https://www.csindex.com.cn/#/indices/family/detail?indexCode=000842
000843,300动态,300 Dynamic,https://www.csindex.com.cn/#/indices/family/detail?indexCode=000843
000844,300稳定,300 Stability,https://www.csindex.com.cn/#/indices/family/detail?indexCode=000844
000846,ESG 100,ESG 100,https://www.csindex.com.cn/#/indices/family/detail?indexCode=000846
000855,央视500,CCTV500,https://www.csindex.com.cn/#/indices/family/detail?indexCode=000855
000859,国企一带一路,SOEs Belt and Road,https://www.csindex.com.cn/#/indices/family/detail?indexCode=000859
000860,结构调整,SOEs' Structural Reform,https://www.csindex.com.cn/#/indices/family/detail?indexCode=000860
000861,央企创新,SOEs Innovation,https://www.csindex.com.cn/#/indices/family/detail?indexCode=000861
000891,新兴综指,Emerging Composite Index,https://www.csindex.com.cn/#/indices/family/detail?indexCode=000891
000902,中证流通,CSI Free Float,https://www.csindex.com.cn/#/indices/family/detail?indexCode=000902
000904,中证200,CSI 200,https://www.csindex.com.cn/#/indices/family/detail?indexCode=000904
000907,中证700,CSI 700,https://www.csindex.com.cn/#/indices/family/detail?indexCode=000907
000908,300能源,CSI 300 Energy,https://www.csindex.com.cn/#/indices/family/detail?indexCode=000908
000909,300材料,CSI 300 Materials,https://www.csindex.com.cn/#/indices/family/detail?indexCode=000909
000910,300工业,CSI 300 Industrials,https://www.csindex.com.cn/#/indices/family/detail?indexCode=000910
000911,300可选,CSI 300 Cons Disc,https://www.csindex.com.cn/#/indices/family/detail?indexCode=000911
000912,300消费,CSI 300 Cons Staples,https://www.csindex.com.cn/#/indices/family/detail?indexCode=000912
000915,300信息,CSI 300 Info Technology,https://www.csindex.com.cn/#/indices/family/detail?indexCode=000915
000916,300通信,CSI 300 Communication,https://www.csindex.com.cn/#/indices/family/detail?indexCode=000916
000917,300公用,CSI 300 Utilities,https://www.csindex.com.cn/#/indices/family/detail?indexCode=000917
000918,300成长,CSI 300 Growth,https://www.csindex.com.cn/#/indices/family/detail?indexCode=000918
000919,300价值,CSI 300 Value,https://www.csindex.com.cn/#/indices/family/detail?indexCode=000919
000920,300R成长,300R Growth,https://www.csindex.com.cn/#/indices/family/detail?indexCode=000920
000921,300R价值,CSI 300R Value,https://www.csindex.com.cn/#/indices/family/detail?indexCode=000921
000922,中证红利,CSI Dividend,https://www.csindex.com.cn/#/indices/family/detail?indexCode=000922
000923,公司债指,Enterprise Bond,https://www.csindex.com.cn/#/indices/family/detail?indexCode=000923
000925,基本面50,CSI RAFI 50,https://www.csindex.com.cn/#/indices/family/detail?indexCode=000925
000926,中证央企,CSI Central SOEs,https://www.csindex.com.cn/#/indices/family/detail?indexCode=000926
000927,央企100,CSI Central SOEs 100,https://www.csindex.com.cn/#/indices/family/detail?indexCode=000927
000929,800材料,800 Materials,https://www.csindex.com.cn/#/indices/family/detail?indexCode=000929
000930,800工业,800 Industrials,https://www.csindex.com.cn/#/indices/family/detail?indexCode=000930
000931,800可选,800 Cons Disc,https://www.csindex.com.cn/#/indices/family/detail?indexCode=000931
000936,800通信,800 Communication Services,https://www.csindex.com.cn/#/indices/family/detail?indexCode=000936
